id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
46733,Girls,Apparel,Bottomwear,Capris,Navy Blue,Summer,2012.0,Casual,Gini and Jony Girls Navy Blue Capris
25504,Boys,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Doodle Kids Boys Soccer Blue T-Shirt
16554,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Basics Men Grey Printed T-shirt
50979,Women,Apparel,Innerwear,Bra,Peach,Summer,2017.0,Casual,Enamor Peach Lift Bra
26276,Men,Apparel,Topwear,Tshirts,Charcoal,Summer,2012.0,Casual,Proline Men Charcoal Grey Polo T-shirt
10061,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Puma Men graphic story tee White Tshirts
10807,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,Wrangler Men Stampede Printed Stripe Black Shirts
11265,Men,Apparel,Bottomwear,Trousers,Black,Fall,2011.0,Casual,Indigo Nation Men TR Yarn Dyed Black Trousers
23963,Men,Apparel,Topwear,Tshirts,Orange,Fall,2011.0,Casual,Peter England Men Orange  Printed T-shirt
13472,Women,Apparel,Dress,Dresses,White,Summer,2011.0,Casual,United Colors of Benetton Women Solid White Dress
8446,Women,Apparel,Topwear,Tops,Grey,Fall,2011.0,Casual,Jealous 21 Women Jealous Pam Grey Top Grey Tops
19530,Men,Apparel,Topwear,Sweaters,Navy Blue,Fall,2011.0,Casual,United Colors of Benetton Men Stripes Navy Blue Sweater
11331,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,United Colors of Benetton Men Washed Blue Jeans
5216,Boys,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Disney Kids Boys Green T-shirt
45634,Men,Apparel,Innerwear,Briefs,Black,Summer,2016.0,Casual,Park Avenue Men Black Swank Briefs
30937,Women,Apparel,Topwear,Kurtis,Green,Summer,2012.0,Ethnic,Fabindia Women Printed Green Kurti
45969,Women,Apparel,Topwear,Tops,Grey Melange,Summer,2012.0,Casual,Tokyo Talkies Women Grey Melange Printed Top
5174,Women,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,Inkfruit Women's Hip Huraa Red T-shirt
43332,Women,Apparel,Topwear,Tunics,Grey,Summer,2012.0,Casual,United Colors of Benetton Women Grey Tunic
46834,Girls,Apparel,Bottomwear,Capris,Blue,Fall,2012.0,Casual,Gini and Jony Girls Blue Capris
4797,Men,Apparel,Bottomwear,Shorts,Grey,Summer,2011.0,Sports,ADIDAS Men's Ess Dark Iron Brown Short
5566,Women,Apparel,Dress,Dresses,Maroon,Summer,2011.0,Casual,Ant Kids Girl's Maroon With Flower Kidswear
28728,Women,Apparel,Topwear,Kurtas,White,Summer,2012.0,Ethnic,W Women Printed White Kurta
53053,Women,Apparel,Saree,Sarees,Multi,Fall,2012.0,Ethnic,FNF Multi Coloured Printed Sari
27274,Women,Apparel,Topwear,Kurtis,Purple,Fall,2011.0,Ethnic,Mother Earth Women Printed Purple Kurti
11014,Women,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Wrangler Women Polka Blue Shirts
30722,Boys,Apparel,Topwear,Kurtas,Maroon,Summer,2012.0,Ethnic,Fabindia Boys Printed Maroon Kurta
55814,Women,Apparel,Loungewear and Nightwear,Night suits,Purple,Summer,2017.0,Casual,SDL by Sweet Dreams Women Pink & Purple Printed Night Suit S11-3225
40154,Boys,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,Gini and Jony Boys Rugby Green T-shirt
39721,Women,Apparel,Topwear,Tops,Grey,Summer,2012.0,Casual,Arrow Woman Grey Printed Top
6932,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Tantra Men's Time Zone Grey T-shirt
29782,Men,Apparel,Bottomwear,Trousers,Green,Summer,2013.0,Casual,Basics Men Green Trousers
34576,Women,Apparel,Topwear,Tops,Black,Summer,2012.0,Casual,Tonga Women Printed Black Top
2401,Men,Apparel,Topwear,Tshirts,White,Fall,2010.0,Sports,Puma White Men's T-shirt
37637,Girls,Apparel,Topwear,Tshirts,Teal,Summer,2012.0,Casual,Madagascar3 Girls Teal Printed T-Shirt
15289,Women,Footwear,Shoes,Sports Shoes,Silver,Fall,2011.0,Sports,FILA Women DLS Spry Silver Sports Shoes
6638,Women,Footwear,Shoes,Casual Shoes,Black,Summer,2011.0,Casual,Nike Women Tenkay Slip Black Shoe
41864,Men,Footwear,Sandal,Sandals,Brown,Summer,2016.0,Casual,Estd. 1977 Men Brown Sandals
49826,Women,Footwear,Flip Flops,Flip Flops,Black,Winter,2012.0,Casual,iPanema Women Grey Flip Flops
19039,Women,Footwear,Shoes,Heels,Brown,Winter,2015.0,Casual,Catwalk Women Brown Heels
5324,Men,Footwear,Shoes,Casual Shoes,White,Summer,2011.0,Casual,Fila Men's Rowley White Red Shoe
7365,Men,Footwear,Shoes,Casual Shoes,Black,Winter,2018.0,Casual,Red Tape Men's Black Casual Shoe
7595,Women,Footwear,Shoes,Sports Shoes,Blue,Summer,2011.0,Sports,Nike Women Ten Blue White Shoe
36429,Men,Footwear,Shoes,Casual Shoes,White,Summer,2012.0,Casual,Spinn Men Brash White Shoes
42181,Men,Footwear,Shoes,Sports Shoes,Silver,Summer,2012.0,Sports,Lotto Men Silver & Green Sports Shoes
22688,Men,Footwear,Shoes,Casual Shoes,White,Summer,2011.0,Casual,Nike Men Sweet Classic Leather White Casual Shoes
3252,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2010.0,Sports,Puma Men's Suede Archive Black White Shoe
7746,Men,Footwear,Shoes,Sports Shoes,Brown,Fall,2011.0,Sports,Fila Men's DNA Brown Grey Shoe
5296,Men,Footwear,Sandal,Sandals,Black,Summer,2011.0,Casual,Puma Men Black Floater
10759,Unisex,Footwear,Flip Flops,Flip Flops,Pink,Winter,2012.0,Casual,Disney Unisex Kids Mini Mouse Pink Flip Flops
54542,Men,Footwear,Shoes,Sports Shoes,White,Fall,2012.0,Sports,F Sports Men White Hurricane Sports Shoes
36144,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2012.0,Sports,Nike Men Flex Black Sports Shoes
50759,Men,Footwear,Sandal,Sandals,Mushroom Brown,Winter,2018.0,Casual,Red Chief Men Mushroom Brown sandals
53444,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2016.0,Casual,ADIDAS Men Black Duramo Slide Flip Flops
